"表題：","都道府県・市区町村のすがた（社会・人口統計体系）"
"公開日：","2025年06月20日"

"***","調査又は集計していないもの"
"-","データが得られないもの"
"X","数値が秘匿されているもの"

"","","","","/項目 コード","A1101",""
"調査年 コード","調査年","地域 コード","地域","/項目","A1101_総人口【人】","注釈"
"2020100000","2020年度","07484","福島県 鮫川村","","3,049",""
"2020100000","2020年度","07501","福島県 石川町","","14,644",""
"2020100000","2020年度","07502","福島県 玉川村","","6,392",""
"2020100000","2020年度","07503","福島県 平田村","","5,826",""
"2020100000","2020年度","07504","福島県 浅川町","","6,036",""
"2020100000","2020年度","07505","福島県 古殿町","","4,825",""
"2020100000","2020年度","07521","福島県 三春町","","17,018",""
"2020100000","2020年度","07522","福島県 小野町","","9,471",""
"2020100000","2020年度","07541","福島県 広野町","","5,412",""
"2020100000","2020年度","07542","福島県 楢葉町","","3,710",""
"2020100000","2020年度","07543","福島県 富岡町","","2,128",""
